url,title,property type,property size,parking,lift,floor,price,service_charge,year built,building registration type,preferred tennant,interior,garage size,front road size,common area,bedrooms,bathrooms,location,country
https://rents.com.bd/property/spaciously-designed-and-strongly-structured-this-2200-sq-ft-commercial-space-now-vacant-for-rent-in-banani-2/,Spaciously Designed And Strongly Structured This 2200 Sq. Ft. Commercial Space Now Vacant For Rent In Banani,Commercial space rent in Dhaka | 225+ Spaces for Rent with Best Price,2200 Sq Ft.,01 Car Parking,02,8th floor," BDT 187,000/- (BDT 85/- Per Sq. Ft.)","BDT 7,500/-",2008, Commercial,Corporate Office or MNC Office,Un-Furnished,120 Sq Ft., 60 Ft.,180 Sq Ft,,,"Banani, Dhaka 1213",Bangladesh
https://rents.com.bd/property/a-modern-well-planned-fully-furnished-flat-of-3000-sq-ft-is-up-for-rent-in-banani/,A Modern Well-planned Fully-Furnished Flat Of 3000 Sq Ft Is Up For Rent In Banani,Furnished Apartment For Rent In Dhaka,3000 Sq Ft,01 car parking,02,9th Floor,"BDT 165,000/-"," BDT 12,000/-",2010, Residential, Foreigner, Fully-Furnished,120 Sq. Ft.,16 Ft.,220 Sq Ft.,03 Bedrooms,03 Bathrooms,"Banani, Dhaka 1213",Bangladesh
https://rents.com.bd/property/spaciously-designed-and-strongly-structured-this-2367-sq-ft-commercial-space-now-vacant-for-rent-in-banani/,Spaciously Designed And Strongly Structured This 2367 Sq. Ft Commercial Space Now Vacant For Rent In Banani,Commercial space rent in Dhaka | 225+ Spaces for Rent with Best Price,2367 Sq Ft.,01 Car Parking,02,11th floor," BDT 230,000/-/-",Including,2008, Commercial,Corporate Office or MNC Office,Un-Furnished,120 Sq Ft., 60 Ft.,180 Sq Ft,,,"Banani, Dhaka 1213",Bangladesh
https://rents.com.bd/property/wonderful-fully-furnished-apartment-covering-an-area-of-1900-sq-ft-is-available-for-rent-in-gulshan/,Wonderful Fully-Furnished Apartment Covering An Area Of 1900 Sq Ft Is Available For Rent In Gulshan,Furnished Apartment For Rent In Dhaka,1900 Sq Ft,01 car parking,01,5th Floor,"BDT 180,000/-"," BDT 9,000/-",2008, Residential, Foreigner, Fully-Furnished,120 Sq. Ft.,16 Ft.,120 Sq Ft.,03 Bedrooms,03 Bathrooms,"Gulshan, Dhaka 1212",Bangladesh
https://rents.com.bd/property/a-modern-well-planned-commercial-space-of-3000-sq-ft-is-up-for-rent-in-banani/,A Modern Well-planned Commercial Space Of 3000 Sq Ft Is Up For Rent In Banani,Commercial space rent in Dhaka | 225+ Spaces for Rent with Best Price,3000 Sq Ft.,01 Car Parking,02,3rd floor," BDT 360,000/- (BDT 120/- Per Sq. Ft.)",Including with rent,2016, Commercial,Corporate Office or MNC Office,Un-Furnished,120 Sq. Ft., 50 Ft.,250 Sq Ft,,,"Banani, Dhaka 1213",Bangladesh
https://rents.com.bd/property/excellent-flat-of-2900-sq-ft-is-available-for-rent-in-the-fine-location-of-baridhara-diplomatic-zone/,Excellent Flat Of 2900 Sq Ft Is Available For Rent In The Fine Location Of Baridhara Diplomatic Zone,Residential Apartment,2900 Sq Ft,01,01,4th Floor,"BDT 150,000/-"," BDT 15,000/-",2009, Residential, Foreigner, Semi-Furnished,120 Sq. Ft.,24 Ft.,150 Sq Ft,03 Bedrooms,04 Bathrooms,Baridhara Diplomatic Zone. Dhaka 1212,Bangladesh
https://rents.com.bd/property/a-modern-well-planned-flat-of-4200-sq-ft-is-up-for-rent-in-baridhara-diplomatic-zone/,A Modern Well-planned Flat Of 4200 Sq Ft Is Up For Rent In Baridhara Diplomatic Zone,"Luxury Collection, Residential Apartment",4200 Sq Ft,03,02,4th Floor Available,"BDT 350,000/-"," BDT 20,000/-",2016, Residential, Foreigner, Un-Furnished,360 Sq. Ft.,16 Ft.,250 Sq Ft,04 Bedrooms,04 Bathrooms,"Baridhara Diplomatic Zone, Dhaka 1212",Bangladesh
https://rents.com.bd/property/a-modern-well-planned-flat-of-2900-sq-ft-is-up-for-rent-in-baridhara-diplomatic-zone/,A Modern Well-planned Flat Of 2900 Sq Ft Is Up For Rent In Baridhara Diplomatic Zone,Residential Apartment,2900 Sq Ft,02 car parking,01,3rd & 4th Floor (duplex) ,"BDT 200,000/-"," BDT 12,000/-",2010, Residential, Foreigner, Semi-Furnished,240 Sq. Ft.,16 Ft.,220 Sq Ft.,04 Bedrooms,04 Bathrooms,"Baridhara Diplomatic Zone, Dhaka 1212",Bangladesh
https://rents.com.bd/property/a-nicely-constructed-apartment-of-3700-sq-ft-is-available-for-rent-in-baridhara-diplomatic-zone/,A Nicely Constructed Apartment Of 3700 Sq Ft Is Available For Rent In Baridhara Diplomatic Zone,Residential Apartment,3700 Sq Ft,02 Car Parking,02,1st Floor,"BDT 250,000/-"," BDT 15,000/-",2012, Residential, Foreigner, Un-Furnished,240 Sq Ft,24 Ft,250 Sq Ft,04 Bedrooms,04 Bathrooms,"Baridhara, Dhaka 1212",Bangladesh
https://rents.com.bd/property/this-1700-sq-ft-amazing-office-space-available-for-rent-in-banani/,This 1700 Sq. Ft. Amazing Office Space Available For Rent In Banani,Office Space,1700 Sq. Ft.,01 Car Parking,01,1st floor," BDT 100,000/-","BDT 9,500/-",2010, Residential,Corporate Office or MNC Office,Un-Furnished,120 Sq. Ft., 30 Ft.,150 Sq Ft,,,"Banani, Dhaka 1213",Bangladesh
